,n
0,1009
1,1019
2,1029
3,1033
4,1039
5,1049
6,1059
7,1069
8,1079
9,1089
10,1091
11,1099
12,1109
13,1119
14,1125
15,1128
16,1133
17,1137
18,1146
19,1152
20,1155
21,1164
22,1173
23,1182
24,1190
25,1191
26,1208
27,1209
28,1218
29,1219
30,1229
31,1248
32,1251
33,1263
34,1267
35,1275
36,1280
37,1281
38,1286
39,1287
40,1291
41,1292
42,1299
43,1307
44,1309
45,1313
46,1317
47,1318
48,1326
49,1329
50,1330
51,1331
52,1334
53,1339
54,1343
55,1356
56,1362
57,1368
58,1369
59,1370
60,1371
61,1381
62,1392
63,1393
64,1397
65,1406
66,1409
67,1416
68,1417
69,1428
70,1433
71,1439
72,1447
73,1449
74,1460
75,1461
76,1471
77,1482
78,1488
79,1493
80,1494
81,1505
82,1509
83,1515
84,1516
85,1521
86,1527
87,1536
88,1538
89,1549
90,1550
91,1551
92,1559
93,1561
94,1572
95,1583
96,1594
97,1595
98,1604
99,1609
100,1614
101,1615
102,1623
103,1626
104,1627
105,1632
106,1635
107,1637
108,1638
109,1639
110,1640
111,1641
112,1646
113,1648
114,1651
115,1653
116,1659
117,1662
118,1664
119,1669
120,1673
121,1682
122,1684
123,1695
124,1696
125,1703
126,1709
127,1713
128,1714
129,1725
130,1728
131,1730
132,1731
133,1736
134,1741
135,1744
136,1747
137,1752
138,1758
139,1762
140,1763
141,1769
142,1774
143,1779
144,1782
145,1785
146,1793
147,1796
148,1797
149,1802
150,1809
151,1812
152,1813
153,1820
154,1821
155,1824
156,1826
157,1827
158,1831
159,1835
160,1842
161,1846
162,1848
163,1853
164,1857
165,1863
166,1864
167,1868
168,1875
169,1879
170,1884
171,1886
172,1889
173,1897
174,1898
175,1900
176,1901
177,1902
178,1903
179,1904
180,1905
181,1906
182,1907
183,1908
184,1909
185,1910
186,1911
187,1912
188,1920
189,1921
190,1922
191,1923
192,1929
193,1930
194,1932
195,1933
196,1934
197,1936
198,1937
199,1940
200,1943
201,1944
202,1945
203,1950
204,1954
205,1955
206,1956
207,1960
208,1963
209,1965
210,1966
211,1967
212,1970
213,1976
214,1977
